title,text
Getting Spliced: Modernism and Sexual Difference,"p.099-100 Modernism def'n in poetry cannot explain Women writers 

such as Stein, Marianne Moore, H.D., Mina Loy, Djuna Barnes, Laura Riding.    This is Perloff's critique in The Dance of Intellect.  Esp. those defn's that have adopted the language of Pound for instance.  Focus on parataxis/juxtaposition and the idea  that as ""the constellation of 'luminous details' in a pattern of generges that Kenner has described at length (for example, in his claim that in Pound's <i>Homage to Sextus Propertius, 'the words lie flat like the forms on a Cubist surface.')."" (98)  Also Poundian modenrism defined acc. to Perloff in terms of ""the break with lyric, the use of collage poetics, and the logopoeic 'attitude of mind'..."" (100)  

BUT Burke points out that Pound's early theoretical writing on logopoeia mentioned M. Moore and M. Loy as examples even though Pound ignored their gender.  And Burke argues the point is precisely that Pound ignored their gender.  ""Genius"" was ""coded"" masculine for him. (100) So it seems Burke says that he assumed, as opposed to the ""sentimental poetesses of the nineteenth century, intelligent modern women like Moore and Loy wrote just like men."" (100)  But Pound's masculinism prevented him from seeing something important about Loy and Moore's writing: ""...because of Pound's self-imposed limitations of thought about the links between gender and creativity (which will be explored briefly in a later section), he could not see that logopoeia in the hands of a female poet might produce a different kind of cultural critique, one that focused on issues of gender."" (100)"
"""The Foundations of All Future Researches"": Franz Boas, George Hunt, Native American Texts, and the Construction of Modernity","p. 483 - 484 Existing Lit on Hunt-Boas collaboration.

They  note a wealth of sources by Ira Jacknis and Judith Berman about the Hunt-Boas partnerhips and correspondence, and they think this material makes possible a detailed examination of discursive practices and language ideology.  They disagree with treatment by others (Jacknis & Berman also?) in that this correspondence is treated as a fragment or special dimension of Boas' work that ""esceaped some of the positivist trappings of Boas's historical particularism.""  (484)  They want to see these texts as continguous with Boas's larger project and as providing ""revealing windows on the manner in which Boas sought to construct anthropology and to locate its practitioners--and the objects of their inquiries--within North American society and within a master narrative of modernity."" (484)"
The Making of a Feminine Professional Identity: Social Workers in the 1920s,"p. 1073- 4 Professional Worker

The Professional Worker, Walkowitz says, was an image that emerged at the end of the 20s, when issues of lack of adequate salary became first and foremost on the minds of social workers.  They were no longer in a ""'professional' conciliatory mode ,but [had] ended the decade of the 1920s talking about proletarian issues.  The limits of their professional equality and autonomy, of being consulted but lacking authority in fundamental ways..."" (1074)  So he puts forward the Professesional Worker as a ""trade unionist"" who was explicitly subordiante to men and a ""neutered construction."""
A category of the human mind: the notion of person; the notion of self,"p. 13 - 17 The Latin ""persona""

He introduces the idea: ""...the Latin <i>persona</i>: a mask, a tragic mask, a ritual mask, and the ancestral mask."" (13)

India

This seems to him to be the oldest ""civilization"" that was ""aware of the notion of the individual, of his consciousness -- may I say, of the 'self' (moi).  He examine terminology from this period.  But there is discussion about wheter the self is whole or composite.  Aham = I and is the same as Indo-European ""ego"".  There is a school samkhya which argues (like Buddhism) that the self is illusory thta it is really composite.  (13)

China

The indiviudal and esp. ""his social status"" here is ""rigorously categorized."" (14)  Here the term is ming.  But he says that ""[w]henever they philosophized about it, whenever certain metaphysical schools they have attempted to explain waht it is, they have said of the individual that he is a compose, made up of <i>shen</i> adn <i>kwei</i> -- two ther collective nouns -- in this life.  Taoism and Buddhism also went down this road, and the notion of the 'person' (<i>personne</i>) ceased to evolve."" (14)

---

But it was the Romans or Latins he think that really developed the idea of person, persona, personne in which the 'person'..is more than an organisaitonal fact, more than a name or  right to assume a role and a ritual mask.  It is a basic fact of law."" (14)

He notes the basic division between personae, res and actiones in modern law is related to this basic development in Roman law.  (14) 

Original meanig of persona?  Latin etymologists say persona -- is per/sonare ""the mask through which (per) resounds the voice (of the actor)""...but he htinks this is a ""derivation invented afterwards."" (14)  He roots it in the Etruscans who had many many masks, has a mask civilizaiton in fact.  (15) 

But the Romans gave the word the meaning.  They had the same ""institutions of the same kind as ceremonies of clans, masks, and paints with which the actors bedeck themselves according to the names they bear."" (15)  He points to the Hirpi Sorani, the wolves of Soracte, which is connected to the founding myth of the Roman She-Wolf and the Romulus and Remus.  (15)  

He says that the Latins, Etruscans, and Amnites, all stil lived in an ""an environment [in which one moved] from <i>personae</i>, masks and names, and individual rights to ritual and privileges."" (16)  From this he says one single step took to move to the 'person' (personne) --> for the plebs to get the right to full citizenship so that ""All freemen of Rome were Roman citizens, all had a civile persona; some became religious <i>personae</i>; some masks, names and ritual remained attached to some privileged famlies of religious <i>collegia</i>"" (16) Along with this roman citizens had a right to forenames, surnames an dpseudonyms.  (16)  

He tracks the developmen then in Roman law of the notion of the ""persona"" as ""synonymous with the true nature of the individual."" (17) -- but before it was this it was also associated with ""an artificial 'character' (<i>personaage</i), the mask and the role of comoedy and tragedy, of trickery an dhypocrisy -- a strangeer to the 'self' (moi)... "" (17)   So the laaw stablished this ""right to the <i>persona</i>"" (17) and only slaves were excluded.  (17)"
The Theory of Professions: State of the Art,"00 Summary Note 00

In the simplest sense, Freidson is joining the ranks of those that are going against the Parsonian definition of the professions as ""honoured servants of  public need.""  (E.g. see Parsons' ""The Professions and the Social STructure"")  Freidson's ideas is actually
that one has to go beyond the notion of the profession by understanding that it is a historically rooted concept.  For instance, he suggests that it is a particularly anglo-saxon construct, or at least that it has a particular meaning in that context, connected to the fact that in England and the United States as opposed to Europe ""each occupation [tended] to have to mount its own movement for recognition and protection. Its members loyalties and identities were attached to their indivdiual occupation and its institutions.""  (24-25)  In Europe, the state was more active. (25)  Thus he argues that in the Aglo-Americna context the professions gain distinction ""less from the prestige of the institutions in which they were educated than from their training and identity as particular, corporately-organised occupations to which specializsed knowledge, ethicality and importance to society are imputed, and for which privilege is claimed."" ""(25)   Thus he thinks it is true that ""professionalism"" is the ""British disease"" or Anglo-American disease as he prefers. (25-26).  He adds, however, that this is not to say that the idea that profession is a ""folk concept"" is satisfactory, because the work of sociologists in defining professions is part of the definition that takes hold and helps to set the standards that professionals themselves attempt to meet.  (27-31)  What he wants to do then is develop a 
theory of occupations, within which ""professions"" can fit.  (32)"
"Margaret Mead, the Samoan Girl and the Flapper: Geographies of Selfhood in Coming of Age in Samoa","p. 43 Mead Quote about Timelessness of Samoa

Quoted on 43 from some interview: ""...'[l]ife is peaceful, orderly, and gracious in Samoa.  It seems timeless.  Nothing has ever changed.  Nobody is troubled.  No voice is ever raised.  It would be a fine place to die.""  (from di Leonardo, Exotics at Home??; hard to tell from Molloy's citation style.)"
"The First Boasian: Alfred Kroeber and Franz Boas, 1896-1905","p.523  Kroeber and 6 Inuit brought to NY 

-- Kroeber apparently heavily involved with the six Inuit brought by explorer Robert Peary in 1897.  Unclear how much K was involved in the fake burial and the use of the skeleton by the AMNH, but Jacknis speculates in footnote #10 that this was a traumatic even for Kroeber, notiing that later both his first wife and Ishi would also die from TB.  See p.522."
"Creating a Female Dominion in American Reform, 1890-1935","0 p.xiii-xiv Female Dominion and Work on Women's Experience of Professions

The literature on women's professional experience she notes has observed that women faced a paradox: ""Prescriptions for female behavior directly contradicted the solidifying requirements of professional conduct: lingering nineteenth-century feminine ideals urged women toward passivity , humility, and self-sacrifice, while professionalism demanded activity, confidence, and self-assertion.  By validating behaviors traditionally associated iwth men, professionalization put aspiring women into perpetual conflict.  If they donned the behavioral garb appropriate to professional life, they invited criticism for being unfeminine.  If they refused to wear the suit, they lost the aura of professional authority."" (xiii)

She notes then that there were different experiences for women in the professions depending on whether they entered male-dominated or female-dominated professions, allso something established by the literature.  (xiii)  

Her female dominion is a study of ""female professionalism."" (xiv)  in which women had more freedom than in the male-dominated professions.  Specifically they were freer to ""reconcile professional ideals with values from female culture, which produced uniquely female ways of being professional."" (xiv)"
The Oversocialized Conception of Man,"<p>Notes on ""2. The Oversocialized Conception of Man in Modern Sociology"" (8/17/10):</p>
<p>(Note this is a reprinting of Wrong's famous and influential article published with the same name in 1961 in the American Sociological Review)</p>
<p>-- In his introductionary comments, Wrong indicates his belief that sociology should be built up around tangible ""questions"" (he doesn't like the phrase problems b/c it is too reformist).  He dislikes what he describes as a general tendency to develop sociological theory ""as the creation of a formal body of knowledge satisfying the logical criteria of scientific theory set up by philosophers and methodologists of natural science."" (32)  What he prefers isthe approach of the ""historicist conception of sociological knowledge"" (32) tha is represnted by Weber, Barrington Moor, Jr., C. Wright Mills (who he says in the forewardto this 1999  ed. book was his teacher).</p>
<p>-- The point here is not to get at laws of development he is careful to point out, but instead how and why can humans form socieities.  He sees these as existential questions on the one hand and questions stemming from Hobbes' basic question--""how men are capable of regulation by social norms and goals that make possible an enduring society"" (33)--on the other. The Marxist form of this same question focuses instead on how how ""complex societies manage to control and restrain destructive conflicts between social groups."" (33)</p>
<p>-- His opinion is that <strong>""[m]uch of our theory offers an oversocialized view of man in answering the Hobbesian question and overintegrated view of society in answering the Marxist question."" </strong>(33) This view he says has been challenged by several writers who he lists in f.n. #3.</p>
<p>-- He starts his critique with T. Parsons who he credits with acknowledging Hobbes as the first to answer the basic question which  Parsons describes as the ""problem of order"" in his first book, <em>The STructure of Social Action. </em>(33)  Then he states Hobbes construction of the problem (33-34).</p>
<p>-- Modern sociology he says gives two main answers to Hobbes' problem that together ""constitute a model of human nature, sometimes clearly stated, more often implicit in accepted concepts,t hat pervades modern sociology."" (35)  #1: the idea of ""internalization of social norms""; #2: ""the view that man is essentially motivated by the desire to achieve a postiive image of self by winning acceptance or status in the eyes of others."" (35)  He gives the following quote as an excellent example of hwat he describes as ""probably the most influential contemporary sociological conception--and dismissal--of the Hobbesian problem:</p>
<blockquote>
<p>To a modern sociologist imbued with the conception that action follows institutionalized patterns, opposition of individual and common interests has only a very limited relevance or is thoroughly unsound. (35, from Francis X. Sutton, <em>The American Business Creed</em>, Cambridge U. Press, 1956, p.304)</p>
</blockquote>
<p>His distase for this argument is that it totally erases the original Hobbesian question or ""destroys the awareness of rival possibiltiies suggested by the question which accounts for it having been asked in the first place."" (35)  It sets up the reverse question, in fact, which is ""How it is that vioelnce, conflict, revolution, and the individual's sense of coercion by society manage to exist at all, if this view is correct?"" (35) This ways of phrasing things reveals a dialetic but rejects any awareness of it.</p>
<p>-- W shows how Parsons develops this model by his assimilation of Durkheim, wherein he empahsizes Durkheim's alter finding that society's don't so much regulate as ""they enter directly into the constitutions of the actors' ends in themselves."" (36)  So from this Parsons develops his conception of social norms as ""constitutive"" (36).  W notes that the original idea of ""internalization"" that Parsons sets up may well have come from Freud, but emphasizes something totally apart from what Freud did.  His analysis of freud here is interesting, p.36-37.  Freud's view is that when a norm has been internalized it means ""no more than that a person will suffer guilt feelings if he fails to live up to it, not that he will in fact live up to it in his behavior."" (36)  The person who does conform might in fact be ven more racked with guilt...  He note discussion of deviance as getting closer to what Freud thought on bottomof 37.  ""The main explantory fucntion ofthe ocncept [of the superego] is to show how people repress themselves, imposing checks on their own desires and thus <strong>turning their inner life into a battlefield of conflicting motives, not matter which side 'wins' by dictating overt action</strong>."" (37)  So the psychoanalytica view W says is less ""deterministic"" than the sociological because it is focused on the inner life and not on ""overt behavior."" (37)</p>
<p><em>[Note: this would seem to relate to some of my analysis in both chs.3&amp;4.  This idea of internalization is what I have Sapir hitting on when he says that the goals of cutlure became ""what the individaul wants"" in his more cosnervatie turn  in ch.3.  Similarly, the classificatory discssuion of pschiatric and sociological coneptions of personality used in both chs, plus Mead and Benedict's discussions of deviance, and Benedict's idea of then ""normal deviant,"" plus just in geneal my sense of the relationship of Freud to what they were doing, which from this seems as though it could be drastically enahcned, but I'd need to dip deeper into Freud and also the personality and culture school...]</em></p>
<p>-- What sociologists have done W notes is to separate the superego from any id concept.  If people are well socialized,then there is no Hobbesian problem at all he says.  And they treat deviant behavior as a consequence of ""special circumstances: ambiguous norms, anomie, role conflict, or greater cultural stress on goals than on the approved means ofor attaining them."" (38)  They have also, he says, rejected the idea that there coudl be a variety of ""motives"" for conformity.  ""Either someone ihas internalized the norm, or he is 'unsocialized,' a feral or socially isolated child, or a psychoapth."" (38)  Freud by contast realied that some people hadn't formed superegos because and therefore could perform ""bad deeds"" without guilt as long as they were sure they wouldn't be punished. (38)</p>
<p>-- Now he begins a more detailed critique of contemporary sociological developments.  He has an intersting analysis of Reisman, who criticized oversocialized man, but without recognizing that thse types were conceptions rooted in his own profession, and not in fact actual types of human character.  But boht he and Guffman appareantly noted that Riesman's idea of human nature was closer to Freud's thna Parsons' in that ""character is defined by superego mechanisms and, like Freud in <em>Civilization and Its Discontents</em>, the socialized individual is defined by what is fobeidden him rather than what society stimulates him to do...[so that] implicit in his typology is a view of society as the enemy both of individuality and of basic drive gratification, a view that contrasts with the at least poentially benign role assigned it by neo-Freudian thinkers oike Fromm and Horney."" (40)  <em>[Note: This analysis I think fits with what Mead was hinting at in her review of Reisman and Whyte's book.</em>]</p>
<p>-- He then moves on to othe rlesser-known contemporary sociologists, Hans Zetterberg and RAlf DDahrendorm, where he finds oversocialization acknowledged as a conceptual proposition, not true, but rather in the manner of the abstract idea of <em>homo economicus</em> in economics, an abstractiont that if taken seriously offers up powerful tools.  But here W objecst that sociology was partly born out of a respond in his undersanding to the oversimpliified and exagerated assumptions of nineteenth century theorists, 41-42.  W likes better Veblen, who criticized classical economics.  (42, bottom).</p>
<p>-- He acknowledged the rising interest in man as ""role-player"" and similarly dislieks it as overly simplistic and a kind of ""ad-hoc"" sociology.  (43).</p>
<p>-- IN a way that is vaguely similar to Sklansky (though only vaguely) he notes that in this idea of internalized values, there has been a total rejection of ""material"" and ""sensual"" satisfication.  ""That material interests, sexual drives, and the quest for power have often been overestimated as human motives is not reason to deny their reality.  To do so its to suppress one term of the dialectic beteen conformity and rebellion, social norms and their violation, man and social order, as completely as th eother term is supressed by thos who deny the reality of an's 'normative orientation' or reduce it to the effect of coercion, rational calculation, or mechanical conditioning. ""(44)</p>
<p>-- What W wants is a recognition that ""in the beginning there is the body."" This is nto a return to biological essentialism he says but a recognition of its impact.  He quotes JOhn Dollard on the fact that Freud did not see the ""instincts as having a fixed social goal..."" (45)  [<em>Note: This Dolalrd quote may be good as a try to go back and tighten the relationship of Freud to my people...</em>]</p>
<p>-- For Freud W says ""man is a <em>social </em>animal without being entirely a <em>socialized </em>animal.  His social nature is itself the source of conflicts and antagonisms that create resistance to socailization by the norms of any of the socieites which have existed in the course of human history."" (45)</p>
<p>-- W ends the essay nicely...callling essentially for a more complex psychology in sociology..and recognizing the way contemporary sociology and humans in general seek to  covered over the violence that society does to the humans' ""drives"":  ""We must do better if we really wish to win credit outside of our ranks for special understanding of man, that plausible creature whose wagging tongue so often hides the despair and darkness in the heart."" (46)</p>"
"The Decline of the German Mandarins:  The German Academic Community, 1890-1933","<p>p.042-44 Description of Rapid Industrializaiton in Germany</p>
<p> </p>"
